name	id	firstAuthor	title	subtitle	normalizedGenre	yearNormalized	size	libretto	averageClustering	density	averagePathLength	maxDegreeIds	averageDegree	diameter	yearPremiered	yearPrinted	maxDegree	numOfSpeakers	numOfSpeakersFemale	numOfSpeakersMale	numOfSpeakersUnknown	numPersonGroups	numConnectedComponents	yearWritten	numOfSegments	wikipediaLinkCount	numOfActs	wordCountText	wordCountSp	wordCountStage	numOfP	numOfL
thoma-erster-klasse	ger000098	Thoma	Erster Klasse	Bauernschwank in einem Akt	Comedy	1910	10	false	0.95	0.933333333	1.066666667	several characters	8.4	2	1910	1910	9	10	2	8	0		1	1910	6	1	0	9917	9746	1863	679	0
thoma-lottchens-geburtstag	ger000207	Thoma	Lottchens Geburtstag	Lustspiel in einem Akt	Comedy	1911	6	false	0.9	0.8	1.2	frau_giselius|coelestine	4	2	1911	1911	5	6	4	2	0		1	1911	11	0	0	7449	7247	1096	515	0
thoma-magdalena	ger000073	Thoma	Magdalena	Ein Volksstück in drei Aufzügen		1912	13	false	0.671461871	0.358974359	1.705128205	thomas	4.307692308	3	1912	1912	11	13	3	9	1		1		28	1	3	18748	18095	3334	1149	0
thoma-moral	ger000056	Thoma	Moral	Komödie in drei Akten	Comedy	1908	17	false	0.860457516	0.433823529	1.764705882	beermann	6.941176471	3	1908	1909	13	17	7	10	0		1		25	0	3	19086	18383	2458	1170	3
tieck-der-gestiefelte-kater	ger000285	Tieck	Der gestiefelte Kater	Ein Kindermärchen in drei Akten. mit Zwischenspielen. einem Prologe und Epiloge		1797	48	false	0.869593695	0.445921986	1.607269504	fischer	20.95833333	3	1844	1797	43	48	2	36	10		1		19	1	3	19066	18681	1785	789	47
tieck-die-theegesellschaft	ger000496	Tieck	Die Theegesellschaft	Lustspiel in Einem Aufzuge	Comedy	1797	10	false	0.934920635	0.822222222	1.177777778	ahlfeld	7.4	2		1797	9	10	1	9	0		1	1796	18	0	0	9059	8794	554	567	0
tieck-die-verkehrte-welt	ger000313	Tieck	Die verkehrte Welt	Ein historisches Schauspiel in fünf Aufzügen		1800	74	false	0.84648015	0.291373565	1.697338746	scaevola	21.27027027	3		1800	56	74	14	51	9		4		21	0	5	23686	21524	1081	961	417
tieck-karl-von-berneck	ger000530	Tieck	Karl von Berneck	Trauerspiel in fünf Aufzügen	Tragedy	1797	19	false	0.820025296	0.602339181	1.397660819	conrad|karl	10.84210526	2		1797	18	19	3	15	1		1	1793/1795	19	0	5	23520	22848	1244	1026	47
tieck-leben-und-tod-der-heiligen-genoveva	ger000531	Tieck	Leben und Tod der heiligen Genoveva	Ein Trauerspiel	Tragedy	1800	68	false	0.840983226	0.159789289	2.079455663	siegfried	10.70588235	4	1807	1800	52	68	6	55	7		1	1799	61	0	0	46522	46138	1099	246	5676
tieck-prinz-zerbino	ger000259	Tieck	Prinz Zerbino oder die Reise nach dem guten Geschmack	Ein deutsches Lustspiel in sechs Akten	Comedy	1799	125	false	0.893232831	0.119354839	2.361032258	nestor	14.8	4		1799	70	125	10	81	34		1	1797	52	0	6	58031	57458	2017	2092	3148
tieck-ritter-blaubart	ger000274	Tieck	Ritter Blaubart	Ein Ammenmärchen in vier Akten		1797	25	false	0.825860684	0.416666667	1.686666667	klaus	10	3	1835	1797	20	25	4	20	1		1	1796	15	0	4	21134	20682	858	974	105
wagner-das-rheingold	ger000317	Wagner	Das Rheingold			1853	14	true	0.972527473	0.89010989	1.10989011	wotan|loge|alberich	11.57142857	2	1869	1853	13	14	6	8	0		1		4	31	0	10404	10082	2726	0	1876
wagner-der-fliegende-hollaender	ger000245	Wagner	Der fliegende Holländer			1843	9	true	1	1	1	several characters	8	1	1843		8	9	3	6	0		1		3	35	3	7017	6718	1635	0	828
wagner-die-kindermoerderin	ger000396	Wagner	Die Kindermörderin	Ein Trauerspiel	Tragedy	1776	14	false	0.854761905	0.549450549	1.450549451	magister|evchen	7.142857143	2	1777	1776	11	14	6	8	0		1		6	2	6	23297	23013	2159	726	10
wagner-die-meistersinger-von-nuernberg	ger000422	Wagner	Die Meistersinger von Nürnberg			1868	32	true	0.885820839	0.610887097	1.389112903	david|walther	18.9375	2	1868		31	32	3	26	3		1		14	31	3	23376	22099	5902	0	3031
wagner-die-reue-nach-der-that	ger000264	Wagner	Die Reue nach der That	Ein Schauspiel		1775	16	false	0.878712954	0.691666667	1.308333333	werner|wilhelm|langen	10.375	2	1775	1775	15	16	6	10	0		1		6	0	6	21415	21141	2210	814	4
wagner-die-walkuere	ger000349	Wagner	Die Walküre			1853	14	true	0.933233433	0.703296703	1.296703297	wotan|bruennhilde	9.142857143	2	1870	1853	13	14	11	3	0		1		11	32	3	12854	12120	3565	0	2296
wagner-goetterdaemmerung	ger000319	Wagner	Götterdämmerung			1853	15	true	0.820968661	0.4	1.638095238	siegfried	5.6	3	1876	1853	13	15	10	5	0		1		12	32	3	12856	12319	4169	0	2055
wagner-lohengrin	ger000175	Wagner	Lohengrin	Romantische Oper in drei Aufzügen		1850	25	true	0.758579492	0.496666667	1.417322835	ortrud|elsa	11.92	3	1850		20	25	6	18	1		2		11	36	3	11960	10925	3830	0	1227
wagner-parsifal	ger000413	Wagner	Parsifal	Ein Bühnenweihfestspiel		1877	23	true	0.963109354	0.612648221	1.387351779	kundry|parsifal	13.47826087	2	1882	1877	22	23	7	15	1		1		3	36	3	10676	10453	3528	0	1293
