Personen	NN	Person
denn	ADV	denn
du	PPER	du
?	$.	?
Schon	ADV	schon
bei	APPR	bei
der	ART	die
Arbeit	NN	Arbeit
?	$.	?
Wird	VAFIN	werden
man	PIS	man
bald	ADV	bald
wieder	ADV	wieder
was	PIS	was
anschauen	VVINF	anschauen
dürfen	VMINF	dürfen
?	$.	?
KOMTESSE	NN	Komtesse
.	$.	.
O	NN	O
ja	ADV	ja
,	$,	,
Papa	NN	Papa
;	$.	;
aber	KON	aber
es	PPER	es
sind	VAFIN	sein
wieder	ADV	wieder
nichts	PIS	nichts
als	KOKOM	als
Blumen	NN	Blume
.	$.	.
GRAF	NE	Graf
.	$.	.
Kommt	VVFIN	kommen
heute	ADV	heute
nicht	PTKNEG	nicht
der	ART	die
Professor	NN	Professor
zu	APPR	zu
dir	PRF	du
?	$.	?
KOMTESSE	NN	Komtesse
.	$.	.
Ja	PTKANT	ja
,	$,	,
aber	KON	aber
erst	ADV	erst
gegen	APPR	gegen
eins	CARD	eins
.	$.	.
GRAF	NE	Graf
.	$.	.
Na	ITJ	na
,	$,	,
laß	VVIMP	lassen
dich	PPER	du
nicht	PTKNEG	nicht
stören	VVINF	stören
.	$.	.
KOMTESSE	NN	Komtesse
wirft	VVFIN	werfen
ihm	PPER	er
eine	ART	eine
Kußhand	NN	Kusshand
zu	PTKVZ	zu
und	KON	und
verschwindet	VVFIN	verschwinden
in	APPR	in
der	ART	die
Mansarde	NN	Mansarde
.	$.	.
GRAF	NE	Graf
zum	APPRART	zu
Diener	NN	Diener
.	$.	.
Was	PWS	was
wollen	VMFIN	wollen
S	NN	S
'	$(	'
denn	ADV	denn
?	$.	?
Ah	ITJ	ah
so	ADV	so
,	$,	,
wegen	APPR	wegen
dem	ART	die
Einspannen	NN	Einspannen
?	$.	?
Ich	PPER	ich
fahr	VVIMP	fahren
'	$(	'
heut	VVFIN	heuen
nicht	PTKNEG	nicht
mehr	ADV	mehr
aus	PTKVZ	aus
.	$.	.
Der	ART	die
Josef	NE	Josef
kann	VMFIN	können
sich	PRF	sich
heut	VVFIN	heuen
einen	ART	eine
freien	ADJA	frei
Tag	NN	Tag
machen	VVINF	machen
.	$.	.
Oder	KON	oder
warten	VVFIN	warten
S	NN	S
'	$(	'
einen	ART	eine
Moment	NN	Moment
.	$.	.
Ruft	VVFIN	rufen
hinauf	PTKVZ	hinauf
.	$.	.
Du	PPER	du
Mizzi	NE	Mizzi
...	$.	...
KOMTESSE	NN	Komtesse
erscheint	VVFIN	erscheinen
auf	APPR	auf
dem	ART	die
Balkon	NN	Balkon
.	$.	.
GRAF	NE	Graf
.	$.	.
Entschuldige	VVFIN	entschuldigen
,	$,	,
daß	KOUS	dass
ich	PPER	ich
dich	PPER	du
noch	ADV	noch
einmal	ADV	einmal
stör	ADJD	stör
'	$(	'
.	$.	.
Brauchst	VVFIN	brauchen
du	PPER	du
heut	VVFIN	heuen
vielleicht	ADV	vielleicht
den	ART	die
Wagen	NN	Wagen
?	$.	?
KOMTESSE	NN	Komtesse
.	$.	.
Nein	PTKANT	nein
,	$,	,
Papa	NN	Papa
,	$,	,
danke	VVFIN	danken
.	$.	.
Ich	PPER	ich
wüßt	VVFIN	wüßt
'	$(	'
nicht	PTKNEG	nicht
...	$.	...
.	$.	.
Dank	NN	Dank
'	$(	'
schön	ADJD	schön
.	$.	.
Verschwindet	VVFIN	verschwinden
wieder	ADV	wieder
.	$.	.
GRAF	NE	Graf
.	$.	.
Also	ADV	also
bleibt	VVFIN	bleiben
's	PPER	es
dabei	PAV	dabei
,	$,	,
der	ART	die
Josef	NE	Josef
kann	VMFIN	können
nachmittag	ADV	nachmittag
machen	VVINF	machen
,	$,	,
was	PWS	was
er	PPER	er
will	VMFIN	wollen
.	$.	.
Sie	PPER	Sie
...	$.	...
und	KON	und
daß	KOUS	dass
der	ART	die
