bückt	VVFIN	bücken
sich	PRF	sich
drüber	PAV	drüber
und	KON	und
schneuzt	VVFIN	schneuzen
sich	PRF	sich
.	$.	.
WALTER	NE	Walter
steckt	VVFIN	stecken
den	ART	die
Kopf	NN	Kopf
durch	APPR	durch
die	ART	die
Kammertür	NN	Kammertür
.	$.	.
Pausbacken	NN	Pausback
,	$,	,
Pudelmütze	NN	Pudelmütze
,	$,	,
rote	ADJA	rot
,	$,	,
gestrickte	ADJA	gestrickt
Fausthandschuhe	NN	Fausthandschuhe
.	$.	.
Mamchen	NN	Mamchen
?	$.	?
darf	VMFIN	dürfen
ich	PPER	ich
mir	PRF	ich
noch	ADV	noch
schnell	ADJD	schnell
'	$(	'
ne	ART	eine
Stulle	NN	Stulle
schneiden	VVINF	schneiden
?	$.	?
FRAU	NN	Frau
SELICKE	NN	SELICKE
ist	VAFIN	sein
zusammengefahren	VVPP	zusammenfahren
.	$.	.
Ach	ITJ	ach
,	$,	,
geh	VVIMP	gehen
,	$,	,
du	PPER	du
ungezogner	ADJA	ungezogner
Junge	NN	Junge
!	$.	!
Erschrick	NN	Erschrick
einen	ART	eine
doch	ADV	doch
nich	ADJA	nich
immer	ADV	immer
so	ADV	so
!	$.	!
Ist	VAFIN	sein
aufgestanden	VVPP	aufstehen
und	KON	und
an	APPR	an
den	ART	die
Tisch	NN	Tisch
getreten	VVPP	treten
,	$,	,
auf	APPR	auf
den	PRELS	die
sie	PPER	sie
ihre	PPOSAT	ihr
Brille	NN	Brille
legt	VVFIN	legen
.	$.	.
Kannst	VMFIN	können
du	PPER	du
denn	ADV	denn
auch	ADV	auch
gar	ADV	gar
nich	ADJA	nich
'	$(	'
n	ADJA	n
bißchen	PIAT	bisschen
Rücksicht	NN	Rücksicht
nehmen	VVINF	nehmen
?	$.	?
!	$.	!
Siehst	VVFIN	sehen
du	PPER	du
denn	ADV	denn
nich	ADJD	nich
,	$,	,
daß	KOUS	dass
das	ART	die
Kind	NN	Kind
krank	ADJD	krank
ist	VAFIN	sein
?	$.	?
WALTER	NE	Walter
ist	VAFIN	sein
unterdessen	ADV	unterdessen
aufs	APPRART	aufs
Sofa	NN	Sofa
geklettert	VVPP	klettern
und	KON	und
trinkt	VVFIN	trinken
nun	ADV	nun
nacheinander	ADV	nacheinander
die	ART	die
verschiedenen	ADJA	verschieden
Kaffeereste	NN	Kaffeereste
aus	PTKVZ	aus
.	$.	.
Den	ART	die
Zucker	NN	Zucker
holt	VVFIN	holen
er	PPER	er
sich	PRF	sich
mit	APPR	mit
dem	ART	die
Löffel	NN	Löffel
extra	ADJD	extra
raus	PTKVZ	raus
.	$.	.
Aber	KON	aber
ich	PPER	ich
hab	VAIMP	haben
doch	ADV	doch
noch	ADV	noch
solchen	PIAT	solche
Hunger	NN	Hunger
,	$,	,
Mamchen	NN	Mamchen
?	$.	?
ALBERT	NE	Albert
ebenfalls	ADV	ebenfalls
noch	ADV	noch
hinter	APPR	hinter
der	ART	die
Szene	NN	Szene
,	$,	,
in	APPR	in
der	ART	die
Kammer	NN	Kammer
,	$,	,
deren	PRELAT	die
Tür	NN	Türe
jetzt	ADV	jetzt
welt	ADJD	welt
aufsteht	VVFIN	aufstehen
.	$.	.
Man	PIS	man
sieht	VVFIN	sehen
ihn	PPER	er
vor	APPR	vor
einer	ART	eine
kleinen	ADJA	klein
