[	$(	[
ich	PPER	ich
die	ART	die
wichtige	ADJA	wichtig
Augenblike	NN	Augenblike
hier	ADV	hier
mit	APPR	mit
kahlen	ADJA	kahl
Raisonnemens	NN	Raisonnemens
verdürbe	VVFIN	verdürbe
,	$,	,
da	KOUS	da
sie	PPER	sie
aus	APPR	aus
meinen	PPOSAT	mein
wichtigen	ADJA	wichtig
Actionen	NN	Actionen
von	APPR	von
selbst	ADV	selbst
entspringen	VVINF	entspringen
.	$.	.
Favete	NN	Favete
!	$.	!
Erster	ADJA	erst
Akt	NN	Akt
.	$.	.
Erste	ADJA	erst
Scene	NN	Scene
.	$.	.
Die	ART	die
Gräber	NN	Grab
und	KON	und
Mausoläen	NN	Mausoläen
der	ART	die
Könige	NN	König
von	APPR	von
Trilinik	NN	Trilinik
.	$.	.
Es	PPER	es
ist	VAFIN	sein
pechschwarze	ADJA	pechschwarz
Nacht	NN	Nacht
,	$,	,
nur	ADV	nur
so	ADV	so
viel	PIAT	viele
Sternen-Licht	NN	Sternen-Licht
,	$,	,
daß	KOUS	dass
man	PIS	man
den	ART	die
König	NE	König
Caromasko	NE	Caromasko
der	ART	die
als	KOKOM	als
Todten-Geripp	NN	Todten-Geripp
,	$,	,
doch	KON	doch
ohne	APPR	ohne
Kron	NN	Kron
und	KON	und
Purpur	NN	Purpur
nach	APPR	nach
den	ART	die
Gräbern	NN	Grab
seiner	PPOSAT	sein
Väter	NN	Vater
herspazirt	NN	herspazirt
,	$,	,
sehen	VVFIN	sehen
replaced-dns	NE	replaced-dns
Dekorationen	NN	Dekoration
dieses	PDAT	dies
Stüks	NN	Stüks
sind	VAFIN	sein
des	ART	die
schwarzen	ADJA	schwarz
Prinzen	NN	Prinz
wegen	APPR	wegen
so	ADV	so
kindisch	ADJD	kindisch
und	KON	und
phantastisch	ADJD	phantastisch
als	KOKOM	als
nur	ADV	nur
möglich	ADJD	möglich
ist	VAFIN	sein
.	$.	.
KÖNIG	NE	König
CAROMASKO	NE	CAROMASKO
sieht	VVFIN	sehen
sich	PRF	sich
um	PTKVZ	um
,	$,	,
seufzt	VVFIN	seufzen
ein	ART	eine
wenig	PIS	wenige
,	$,	,
und	KON	und
schüttelt	VVFIN	schütteln
sich	PRF	sich
,	$,	,
wie	KOUS	wie
einer	PIS	eine
der	ART	die
aus	APPR	aus
dem	ART	die
Schlaf	NN	Schlaf
erwacht	VVPP	erwachen
.	$.	.
Da	ADV	da
bin	VAFIN	sein
ich	PPER	ich
nun	ADV	nun
endlich	ADV	endlich
einmal	ADV	einmal
gestorben	VVPP	sterben
!	$.	!
Es	PPER	es
hält	VVFIN	halten
wahrhaftig	ADJD	wahrhaftig
hart	ADJD	hart
,	$,	,
bis	KOUS	bis
ich	PPER	ich
mich	PRF	ich
von	APPR	von
Regierungs-Geschäften	NN	Regierungs-Geschäften
,	$,	,
Kron	NN	Kron
und	KON	und
Scepter	NN	Scepter
,	$,	,
den	ART	die
weichen	ADJA	weich
Sophas	NN	Sophas
,	$,	,
den	ART	die
guten	ADJA	gut
Weinen	NN	Wein|Weinen
,	$,	,
feinen	ADJA	fein
Speisen	NN	Speise|Speisen
und	KON	und
Madame	NN	Madame
Colombine	NN	Colombine
trennen	VVINF	trennen
konnte	VMFIN	können
.	$.	.
Doch	ADV	doch
hab	VAIMP	haben
ich	PPER	ich
mir	PRF	ich
das	ART	die
Ding	NN	Ding
noch	ADV	noch
immer	ADV	immer
fürchterlicher	ADJD	fürchterlich
vorgestellt	VVPP	vorstellen
,	$,	,
als	KON	als
es	PPER	es
ist	VAFIN	sein
.	$.	.
Ich	PPER	ich
bin	VAFIN	sein
leicht	ADJD	leicht
und	KON	und
fühle	VVFIN	fühlen
keinen	PIAT	keine
Hunger	NN	Hunger
.	$.	.
Kalt	ADJD	kalt
ists	VVFIN	ists
ein	ART	eine
wenig	PIAT	wenige
–	NN	–
vermuthlich	ADJD	vermuthlich
haben	VAFIN	haben
sie	PPER	sie
mir	PPER	ich
deßwegen	VVFIN	deßwegen
meinen	PPOSAT	mein
neusten	ADJA	neu
Mantel	NN	Mantel
mitgegeben	VVPP	mitgeben
.	$.	.
–	NN	–
Ich	PPER	ich
bin	VAFIN	sein
so	ADV	so
funfzig	CARD	funfzig
Jahr	NN	Jahr
König	NE	König
von	APPR	von
Trilinik	NN	Trilinik
gewesen	VAPP	sein
.	$.	.
Eine	ART	eine
hübsche	ADJA	hübsch
Zeit	NN	Zeit
!	$.	!
und	KON	und
läßt	VVFIN	lassen
sich	PRF	sich
viel	ADV	viel
drinnen	ADV	drinnen
thun	NE	thun
;	$.	;
aber	KON	aber
jezt	VVIMP	jezt
ists	VVFIN	ists
,	$,	,
als	KOKOM	als
wie	KOUS	wie
der	ART	die
Wind	NN	Wind
der	ART	die
über	APPR	über
meine	PPOSAT	mein
Kiefer	NN	Kiefer
streicht	VVFIN	streichen
–	ADJD	–
